Year,Month,TAS,TSMAX,TSMIN
2018,2,3.74,6.8,0.69
2018,3,7.42,10.69,4.19
2018,4,13.81,18.22,9.48
2018,5,16.61,20.39,12.87
2018,6,20.31,24.41,15.97
2018,7,23.19,27.67,18.58
2018,8,22.77,27.42,18.55
2018,9,19.56,24.21,15.4
2018,10,15.32,19.22,11.95
2018,11,10.37,13.35,7.8
2018,12,5.83,9.51,2.63
2019,1,3.12,6.82,-0.19
2019,2,6.31,11.16,2.17
2019,3,9.37,14.04,4.91
2019,4,11.32,15.13,7.5
2019,5,13,16.51,9.35
2019,6,22.22,26.91,17.04
2019,7,23.43,27.98,18.73
2019,8,23.47,28.11,19.02
2019,9,19.23,23.68,15.23
2019,10,15.59,19.75,11.98
2019,11,10.29,12.97,7.63
2019,12,7.17,10.42,4.27
2020,1,5.41,9.72,1.88
2020,2,7.78,12.24,3.61
2020,3,8.18,12.13,4.27
2020,4,12.05,16.77,7.21
2020,5,16.57,20.75,12.09
2020,6,19.15,23.21,14.73
2020,7,22.68,27.22,17.81
2020,8,23.37,27.93,18.88
2020,9,19.45,23.89,15.39
2020,10,13.19,17.14,9.48
2020,11,10.21,14.13,6.94
2020,12,6.25,9.12,3.57
2021,1,4.21,7.31,1.25
2021,2,7.23,11.19,3.67
2021,3,7.68,12.12,3.34
2021,4,10.06,14.06,5.82
2021,5,15,19.13,10.51
2021,6,21.52,26.12,16.56
2021,7,23.27,27.77,18.47
2021,8,23.09,27.83,18.4
2021,9,19.76,24.33,15.56
2021,10,13.42,17.44,9.89
2021,11,10.05,13.01,7.37
2021,12,5.65,9.1,2.57
2022,1,4.74,8.85,1.41
2022,2,6.67,11.14,2.61
2022,3,7.1,11.53,2.84
2022,4,11.04,15.3,6.52
2022,5,17.6,22.04,12.91
2022,6,23.04,27.76,17.88
2022,7,24.88,29.76,19.67
2022,8,23.44,28.09,18.91
2022,9,19.1,23.32,15.13
2022,10,16.41,21.09,12.51
2022,11,10.49,14.12,7.24
2022,12,7.75,10.88,5.02
2023,1,5.78,9.06,2.88
2023,2,5.96,10.46,2.18
2023,3,9.63,13.79,5.53
2023,4,10.87,14.97,6.63
2023,5,15.46,19.07,11.91
2023,6,20.52,24.68,16.15
2023,7,24.49,29.15,19.49
2023,8,23.15,27.89,18.4
2023,9,20.68,25.41,16.39
2023,10,17.56,21.93,13.67
2023,11,10.28,13.93,6.94
2023,12,7.32,10.82,4.57
