Year,Month,TAS,TSMAX,TSMIN
1963,8,20.87,25.46,16.07
1963,9,18.11,22.35,14.06
1963,10,12.61,16.74,8.91
1963,11,10.67,14.11,7.49
1963,12,3.94,6.89,1.3
1964,1,1.54,5.32,-1.61
1964,2,4.17,8.19,0.67
1964,3,7.2,10.47,4
1964,4,10.75,14.85,6.49
1964,5,15.38,19.82,10.64
1964,6,19.71,24.2,14.95
1964,7,21.3,25.89,16.36
1964,8,20.43,25,15.83
1964,9,17.79,22.34,13.26
1964,10,12.48,15.97,9.24
1964,11,8.97,12.27,6.03
1964,12,4.7,7.75,2.01
1965,1,3.79,7.01,0.89
1965,2,1.28,5.25,-2.46
1965,3,6.82,10.74,2.99
1965,4,9.2,13.24,5.19
1965,5,13.94,18.32,9.39
1965,6,18.5,23.15,13.57
1965,7,21.4,26.23,16.11
1965,8,20,24.64,15.3
1965,9,16.55,20.59,12.58
1965,10,13.12,17.46,9.19
1965,11,8.71,11.81,5.6
1965,12,5.19,8.5,2.1
1966,1,1.76,5.12,-1.48
1966,2,7.49,10.85,4.45
1966,3,6.45,10.51,2.39
1966,4,11.41,15.4,7.39
1966,5,14.54,18.76,10.19
1966,6,19.4,23.97,14.55
1966,7,20.05,24.37,15.52
1966,8,20.33,24.85,15.79
1966,9,18.28,22.82,13.92
1966,10,15.03,18.32,12.01
1966,11,6.27,9.66,3.1
1966,12,3.82,7.11,0.75
1967,1,2.28,5.85,-1.01
1967,2,4.57,8.11,1.33
1967,3,8.26,12.27,4.38
1967,4,9.67,13.7,5.43
1967,5,14.81,19.17,10.23
1967,6,17.18,21.45,12.58
1967,7,22.05,26.77,17.07
1967,8,21.45,26.11,16.93
1967,9,17.7,22.18,13.4
1967,10,14.79,19.73,10.26
1967,11,9.56,13.24,6.11
1967,12,4,7.42,0.67
1968,1,1.87,5.72,-1.76
1968,2,6.06,9.15,3.08
1968,3,7.4,11.93,2.86
1968,4,11.84,16.1,7.34
1968,5,14.85,18.91,10.65
1968,6,17.83,21.83,13.63
1968,7,20.81,25.29,16
1968,8,19.24,23.45,15.02
1968,9,17.24,21.61,13.15
1968,10,13.69,18.08,9.76
1968,11,8.64,12.11,5.44
1968,12,3.92,6.69,1.27
1969,1,3.37,6.81,0.26
1969,2,3.51,6.72,0.26
1969,3,7.14,10.21,4.1
1969,4,9.91,14.05,5.58
1969,5,16.04,20.39,11.44
1969,6,17.07,21.29,12.49
1969,7,20.36,24.97,15.54
1969,8,20.11,24.55,15.7
1969,9,17.87,22.09,13.98
1969,10,13.83,18.73,9.57
1969,11,9.43,13.16,5.82
1969,12,2.44,5.47,-0.53
1970,1,5.02,7.85,2.29
1970,2,4.53,8.03,1.03
1970,3,6.06,9.62,2.31
1970,4,9.75,13.94,5.37
1970,5,12.96,17.14,8.37
1970,6,19.14,23.53,14.54
1970,7,20.75,25.58,15.63
1970,8,21.17,25.91,16.5
1970,9,18.81,23.65,14.16
1970,10,12.5,17.32,8.07
1970,11,9.3,13.41,5.5
1970,12,4.25,7.66,1.02
1971,1,4.11,7.08,1.25
1971,2,4.48,8.39,0.91
1971,3,4.57,8.16,0.87
1971,4,11.38,15.29,7.42
1971,5,15.01,19.15,10.82
1971,6,17.71,21.99,13.29
1971,7,21.25,25.94,16.29
1971,8,22.94,27.86,18.05
1971,9,16.57,20.95,12.28
1971,10,12.48,17.28,8.15
1971,11,7.7,11.26,4.3
1971,12,4.91,8.55,1.93
1972,1,4.36,6.88,1.91
1972,2,6.34,9.2,3.58
1972,3,8.87,12.77,5.05
1972,4,10.36,14.02,6.69
1972,5,13.71,17.92,9.3
1972,6,18.35,22.66,13.75
1972,7,20.26,24.58,15.99
1972,8,19.58,24.06,15.13
1972,9,15.08,18.83,11.5
1972,10,11.36,15.17,7.65
1972,11,8.6,12.43,4.99
1972,12,5.11,7.87,2.66
1973,1,4.17,7.13,1.48
1973,2,4.04,7.83,0.59
1973,3,5.89,9.84,1.95
1973,4,8.43,12.4,4.22
1973,5,15.5,19.96,10.81
1973,6,19.14,23.45,14.51
1973,7,21.25,25.68,16.62
1973,8,21.35,26.04,16.79
1973,9,18.85,23.18,14.66
1973,10,13.22,17.47,9.39
1973,11,7.86,11.91,4.11
1973,12,4.3,7.6,1.03
1974,1,5.5,8.81,2.52
1974,2,6.48,9.51,3.54
1974,3,8.02,11.59,4.43
1974,4,9.62,13.23,5.94
1974,5,13.94,18.06,9.54
1974,6,17.79,22.01,13.15
1974,7,21,25.7,15.91
1974,8,21.63,26.53,16.78
1974,9,17.75,22.1,13.43
1974,10,9.5,13.31,5.68
1974,11,7.69,11.24,4.23
1974,12,4.82,8.81,1.39
1975,1,4.89,8.61,1.63
1975,2,4.49,8.38,0.88
1975,3,7.15,10.46,3.75
1975,4,10.43,14.46,6.19
1975,5,14.66,18.75,10.42
1975,6,17.36,21.45,12.97
1975,7,21.19,25.75,16.31
1975,8,20.51,24.6,16.46
1975,9,19.25,23.33,15.33
1975,10,12.05,16,8.4
1975,11,7.72,10.85,4.69
1975,12,5.26,8.48,2.45
1976,1,3.93,7.68,0.55
1976,2,5.55,8.92,2.31
1976,3,6.1,10.01,2.19
1976,4,9.8,13.78,5.77
1976,5,14.81,19.18,10.13
1976,6,18.8,23.28,14.09
1976,7,20.61,25.06,16.2
1976,8,18.44,22.64,14.33
1976,9,15.86,20.05,11.7
1976,10,13.49,17.1,10.08
1976,11,8.05,11.18,5.12
1976,12,4.75,7.58,1.82
1977,1,4.87,7.69,2.04
1977,2,7.09,10.37,3.96
1977,3,9.27,13.43,5.35
1977,4,10.1,14.26,5.75
1977,5,14.39,18.39,10.16
1977,6,17.72,21.9,13.38
1977,7,20.85,25.25,16.27
1977,8,19.69,23.85,15.56
1977,9,16.23,20.64,11.9
1977,10,14.03,17.97,10.37
1977,11,8.47,12.13,4.9
1977,12,4.38,7.9,1.18
1978,1,3.96,7.18,0.89
1978,2,4.65,7.68,1.7
1978,3,7.89,11.68,3.92
1978,4,9.16,12.58,5.76
1978,5,13.18,16.82,9.34
1978,6,17.84,22.23,13.17
1978,7,19.96,24.57,15.06
1978,8,20.04,24.61,15.39
1978,9,17.3,22.15,12.45
1978,10,12.46,16.91,8.45
1978,11,6.53,11.39,2.58
1978,12,5.54,8.48,2.54
1979,1,2.05,5.2,-1.23
1979,2,5.57,8.36,2.74
1979,3,7.97,11.61,4.37
1979,4,8.92,12.76,5.17
1979,5,14.5,19.14,9.84
1979,6,19.26,23.73,15.15
1979,7,20.89,25.31,16.38
1979,8,19.93,24.48,15.63
1979,9,17.19,21.68,12.87
1979,10,13.41,17.12,10.2
1979,11,7.39,10.96,4.15
1979,12,5.66,9.1,2.37
1980,1,2.83,5.82,-0.03
1980,2,5.21,9.32,1.52
1980,3,7.11,10.6,3.6
1980,4,8.36,12.26,4.31
1980,5,12.36,15.84,8.86
1980,6,17.19,21.37,12.83
1980,7,19.58,24.08,14.8
1980,8,21.58,26.16,17
1980,9,18.39,23.06,13.94
1980,10,12.83,16.91,8.99
1980,11,7.77,10.83,4.84
1980,12,2.8,6.33,-0.41
1981,1,1.26,5.07,-2.26
1981,2,3.19,7.02,-0.39
1981,3,8.7,12.59,4.85
1981,4,11.38,15.58,7.04
1981,5,14.21,18.39,9.73
1981,6,19.09,23.54,14.34
1981,7,20.02,24.46,15.3
1981,8,20.86,25.59,16.17
1981,9,18.14,22.12,14.33
1981,10,13.92,17.93,9.99
1981,11,6.62,11.05,2.78
1981,12,4.99,8.04,1.82
1982,1,4.55,7.83,1.65
1982,2,3.6,7.21,0.28
1982,3,6.15,10.08,2.19
1982,4,9.77,13.88,5.57
1982,5,14.86,19.26,10.25
1982,6,20.16,24.69,15.34
1982,7,22.45,27.05,17.82
1982,8,21.09,25.5,16.68
1982,9,19.42,23.8,15.32
1982,10,13.32,16.88,9.95
1982,11,9.15,12.57,6.01
1982,12,5.61,8.72,2.53
1983,1,4.4,8.65,0.83
1983,2,2.53,6.17,-1.09
1983,3,7.52,11.59,3.56
1983,4,10.93,14.9,6.78
1983,5,14.63,18.86,10.09
1983,6,18.36,22.73,13.75
1983,7,23.31,28.28,18.21
1983,8,20.75,25.08,16.46
1983,9,18.28,22.84,13.7
1983,10,13.25,17.76,9.02
1983,11,8.15,11.89,4.74
1983,12,4.52,7.89,1.47
1984,1,3.8,7.18,0.42
1984,2,3.38,6.61,0.34
1984,3,5.89,9.48,2.33
1984,4,9.45,13.35,5.49
1984,5,12.68,16.28,8.95
1984,6,17.42,21.77,12.75
1984,7,21.12,26.08,15.81
1984,8,19.84,24.26,15.53
1984,9,16.59,20.85,12.36
1984,10,13.41,17.3,9.85
1984,11,9.41,12.97,6.11
1984,12,5.21,8.34,2.33
1985,1,0.7,3.9,-2.5
1985,2,4.19,7.84,0.7
1985,3,6.52,9.84,3.12
1985,4,10.64,14.79,6.36
1985,5,14.61,18.65,10.4
1985,6,18.18,22.61,13.31
1985,7,22.34,27.19,17.21
1985,8,21.36,26.42,16.2
1985,9,19.11,24.3,14.1
1985,10,13.76,18.21,9.66
1985,11,7.67,10.72,4.58
1985,12,6.03,9.64,2.91
1986,1,3.64,6.9,0.32
1986,2,2.56,5.27,-0.24
